ID,URL,Title,Duration (minutes),Status,Audio Path
GpIbAmItX-M,https://www.youtube.com/watch?v=GpIbAmItX-M,EMISSION SOUWENONSOUVO 01 06 2023 | RADIO COTONOU,110.47,success,Audios/GpIbAmItX-M.mp3
qfDF69f4Tfw,https://www.youtube.com/watch?v=qfDF69f4Tfw,SOUWENONSOUVO DU 29 JUIN 2023 | RADIO COTONOU,117.95,success,Audios/qfDF69f4Tfw.mp3
L1kEClfFLOM,https://www.youtube.com/watch?v=L1kEClfFLOM,SOUWENONSOUVO DU 13 JUILLET 2023 | RADIO COTONOU,117.92,success,Audios/L1kEClfFLOM.mp3
tNl-Q7uI2s8,https://www.youtube.com/watch?v=tNl-Q7uI2s8,SOUWENONSOUVO DU 27 JUILLET 2023,76.47,success,Audios/tNl-Q7uI2s8.mp3
ZzXHO4uILjg,https://www.youtube.com/watch?v=ZzXHO4uILjg,Uriner au lit jusqu'à l'âge adulte Comment eviter cela DU 03 08 23 SUR,51.6,success,Audios/ZzXHO4uILjg.mp3
yg3fAFuyCcQ,https://www.youtube.com/watch?v=yg3fAFuyCcQ,SOUWENONSOUVO DU 31 AOUT 2023,115.6,success,Audios/yg3fAFuyCcQ.mp3
wqpIUl5qjfc,https://www.youtube.com/watch?v=wqpIUl5qjfc,SOUWENONSOUVO 14 09 2023,114.98,success,Audios/wqpIUl5qjfc.mp3
syQlgNZKDb0,https://www.youtube.com/watch?v=syQlgNZKDb0,SOUWENONSOUVO DU 28 SEPTEMBRE 2023,115.75,success,Audios/syQlgNZKDb0.mp3
AL50IJRxUnU,https://www.youtube.com/watch?v=AL50IJRxUnU,Radio Cotonou 94.3,114.28,success,Audios/AL50IJRxUnU.mp3
9GwHedtt8Wg,https://www.youtube.com/watch?v=9GwHedtt8Wg,Familiarité soudaine entre zemidjan et sa cliente,51.47,success,Audios/9GwHedtt8Wg.mp3
6qS6eHj5HhI,https://www.youtube.com/watch?v=6qS6eHj5HhI,SOUWENONSOUVO DU 26 10 2023,112.95,success,Audios/6qS6eHj5HhI.mp3
PaVxqX3sqGc,https://www.youtube.com/watch?v=PaVxqX3sqGc,SOUWENONSOUVO DU 09 NOVEMBRE 2023,113.7,success,Audios/PaVxqX3sqGc.mp3
tgwSCp1vZzM,https://www.youtube.com/watch?v=tgwSCp1vZzM,SOUWENONSOUVO DU 23 NOVEMBRE 2023,116.3,success,Audios/tgwSCp1vZzM.mp3
opwrj5oeqj0,https://www.youtube.com/watch?v=opwrj5oeqj0,SOUWENONSOUVO DU 07 12 2023,111.78,success,Audios/opwrj5oeqj0.mp3
FcdTmrJfaJE,https://www.youtube.com/watch?v=FcdTmrJfaJE,SOUWENONSOUVO DU 21 DECEMBRE  2023,115.58,success,Audios/FcdTmrJfaJE.mp3
Hg3b6OiE6O0,https://www.youtube.com/watch?v=Hg3b6OiE6O0,SOUWENONSOUVO DU 04 01 2024,113.85,success,Audios/Hg3b6OiE6O0.mp3
pf4CYNqRW7o,https://www.youtube.com/watch?v=pf4CYNqRW7o,SOUWENONSOUVO DU 18 01 2024,119.42,success,Audios/pf4CYNqRW7o.mp3
aqQSwZwNA70,https://www.youtube.com/watch?v=aqQSwZwNA70,SOUWENONSOUVO DU 01 02  2024,113.7,success,Audios/aqQSwZwNA70.mp3
9XbVE9t8yKo,https://www.youtube.com/watch?v=9XbVE9t8yKo,SOUWENONSOUVO DU 15 02  2024,114.52,success,Audios/9XbVE9t8yKo.mp3
BIRAKAWQOcE,https://www.youtube.com/watch?v=BIRAKAWQOcE,SOUWENONSOUVO DU 29 02  2024,116.33,success,Audios/BIRAKAWQOcE.mp3
8IU6TNXCgmQ,https://www.youtube.com/watch?v=8IU6TNXCgmQ,SOUWENONSOUVO DU 14 MARS 2024,111.15,success,Audios/8IU6TNXCgmQ.mp3
_j-51Sn55v4,https://www.youtube.com/watch?v=_j-51Sn55v4,SOUWENONSOUVO DU 11 AVRIL 2024,110.42,success,Audios/_j-51Sn55v4.mp3
HprCDWwD0Ho,https://www.youtube.com/watch?v=HprCDWwD0Ho,SOUWENONSOUVO DU 25 AVRIL 2024,114.42,success,Audios/HprCDWwD0Ho.mp3
2aJ_BrdCZKA,https://www.youtube.com/watch?v=2aJ_BrdCZKA,SOUWENONSOUVO DU 09 MAI 2024,116.55,success,Audios/2aJ_BrdCZKA.mp3
ozUXmebUUxk,https://www.youtube.com/watch?v=ozUXmebUUxk,SOUWENONSOUVO DU 23 MAI 2024,114.27,success,Audios/ozUXmebUUxk.mp3
