ID,URL,Title,duration,status,Audio Path,audio_exists,audio_size,audio_status
-RXIEHJ-o_0,https://www.youtube.com/watch?v=-RXIEHJ-o_0,SORCELLERIE ET CONSÉQUENCES  ☯🔥/ CONFESSION D'UNE ÉTUDIANTE,121.33,success,Audios/-RXIEHJ-o_0.mp3,True,116468644,ok
y4Q9pzlZb2Q,https://www.youtube.com/watch?v=y4Q9pzlZb2Q,NOUGNIN GBASSA 🔥PAR JALOUSIE ELLE DÉCIDE DE TUER L'ENFANT DE SA SŒUR,130.03,success,Audios/y4Q9pzlZb2Q.mp3,True,124824484,ok
IEh3Wv0X3XM,https://www.youtube.com/watch?v=IEh3Wv0X3XM,☯ NOUGNIN GBASSA 🔱 LE VOYAGE DU SORCIER ☯,114.97,success,Audios/IEh3Wv0X3XM.mp3,True,110367275,ok
D6n9EfnBaN4,https://www.youtube.com/watch?v=D6n9EfnBaN4,☯ NOUGNIN GBASSA 🔱 COMMENT FAIRE LE NOUKPÉHASSÈ ☯,123.28,success,Audios/D6n9EfnBaN4.mp3,True,118344027,ok
GEcL5cwETjE,https://www.youtube.com/watch?v=GEcL5cwETjE,☯ NOUGNIN GBASSA 🔱 POURQUOI DONC LA MORT ?☯,87.68,success,Audios/GEcL5cwETjE.mp3,True,84174191,ok
kKQbBQW_Iq8,https://www.youtube.com/watch?v=kKQbBQW_Iq8,LONYI JI LON ⚽🎾🏀 N°1,26.5,success,Audios/kKQbBQW_Iq8.mp3,True,25425849,ok
nrLsTZLuG2g,https://www.youtube.com/watch?v=nrLsTZLuG2g,LONYI JI LON ⚽🎾🏀 N°2,27.8,success,Audios/nrLsTZLuG2g.mp3,True,26686831,ok
0P6pIpiHyvA,https://www.youtube.com/watch?v=0P6pIpiHyvA,LONYI JI LON ⚽🎾🏀 N°3,28.15,success,Audios/0P6pIpiHyvA.mp3,True,27023707,ok
PH9rM0mHqMk,https://www.youtube.com/watch?v=PH9rM0mHqMk,LONYI JI LON ⚽🎾🏀 N°4,26.5,success,Audios/PH9rM0mHqMk.mp3,True,25425849,ok
hJAwbDWbmYo,https://www.youtube.com/watch?v=hJAwbDWbmYo,LONYI JI LON ⚽🎾🏀 N°5,28.15,success,Audios/hJAwbDWbmYo.mp3,True,27023707,ok
jvXEtNqNSDo,https://www.youtube.com/watch?v=jvXEtNqNSDo,LONYI LON FON KAN JONON : DANS L'ARENE DES SPORTIFS BENINOIS #INFOSDUBENIN,28.3,success,Audios/jvXEtNqNSDo.mp3,True,27158707,ok
MQe0SNALGFc,https://www.youtube.com/watch?v=MQe0SNALGFc,Mè tome Xo: Tous les vendredis 20H,2.33,success,Audios/MQe0SNALGFc.mp3,True,2227860,ok
hg4aNOCgjfc,https://www.youtube.com/watch?v=hg4aNOCgjfc,METOME XO DU 15 SEPTEMBRE 2023,49.82,success,Audios/hg4aNOCgjfc.mp3,True,47809653,ok
UdJRUgsaxEU,https://www.youtube.com/watch?v=UdJRUgsaxEU,Mɛ tomɛ xό  DU 22 SEPT 2023,57.78,success,Audios/UdJRUgsaxEU.mp3,True,55467919,ok
LgFEk54yHM4,https://www.youtube.com/watch?v=LgFEk54yHM4,Mɛ tomɛ xό du 29 SEPT 2023,60.53,success,Audios/LgFEk54yHM4.mp3,True,58110257,ok
